epoch,learning_rate,loss,val_loss
0,9.999999747378752e-06,0.3745948374271393,0.2712763249874115
1,9.999999747378752e-06,0.2629530727863312,0.24232248961925507
2,9.999999747378752e-06,0.23420016467571259,0.2327643781900406
3,9.999999747378752e-06,0.21318401396274567,0.23273669183254242
4,9.999999747378752e-06,0.19546546041965485,0.231110081076622
5,9.999999747378752e-06,0.17793409526348114,0.2338501513004303
6,9.999999747378752e-06,0.1613949090242386,0.2340768575668335
7,9.999999747378752e-06,0.14507193863391876,0.22913886606693268
8,9.999999747378752e-06,0.13082027435302734,0.24112316966056824
9,9.999999747378752e-06,0.11787828058004379,0.24820449948310852
